ZONE_CODE,COMARCA_CODE,COMARCA,PROVINCE,RISK_SCORE,RISK_RATING,FLUVIAL_RISK_SCORE,FLUVIAL_RISK_RATING,COASTAL_RISK_SCORE,COASTAL_RISK_RATING,DANA_RISK_SCORE,EXPECTED_ANNUAL_LOSS,EAL_BUILDINGS
46001-Z1,46001,L'Horta Nord,Valencia,62.3,Relatively High,58.1,Relatively High,45.2,Relatively Moderate,71.0,4850000,3200000
46001-Z2,46001,L'Horta Nord,Valencia,55.8,Relatively Moderate,52.4,Relatively Moderate,38.6,Relatively Low,65.3,3200000,2100000
46001-Z3,46001,L'Horta Nord,Valencia,48.2,Relatively Moderate,44.7,Relatively Moderate,30.1,Relatively Low,58.9,2100000,1400000
46002-Z1,46002,L'Horta Sud,Valencia,78.4,Very High,82.1,Very High,52.3,Relatively High,85.6,9800000,6500000
46002-Z2,46002,L'Horta Sud,Valencia,71.6,Very High,75.3,Very High,48.7,Relatively Moderate,79.2,7200000,4800000
46002-Z3,46002,L'Horta Sud,Valencia,65.1,Relatively High,68.9,Relatively High,42.1,Relatively Moderate,72.8,5100000,3400000
46003-Z1,46003,L'Horta Oest,Valencia,52.7,Relatively Moderate,55.2,Relatively Moderate,22.4,Relatively Low,63.1,3400000,2300000
46003-Z2,46003,L'Horta Oest,Valencia,46.3,Relatively Moderate,48.8,Relatively Moderate,18.9,Very Low,56.7,2500000,1700000
46004-Z1,46004,Camp de Turia,Valencia,38.9,Relatively Low,42.1,Relatively Moderate,12.3,Very Low,48.5,1800000,1200000
46004-Z2,46004,Camp de Turia,Valencia,32.4,Relatively Low,35.6,Relatively Low,8.7,Very Low,41.2,1200000,800000
46005-Z1,46005,Camp de Morvedre,Valencia,45.6,Relatively Moderate,48.3,Relatively Moderate,38.9,Relatively Low,52.1,2800000,1900000
46005-Z2,46005,Camp de Morvedre,Valencia,39.2,Relatively Low,41.7,Relatively Moderate,32.4,Relatively Low,45.8,1900000,1300000
46006-Z1,46006,La Ribera Alta,Valencia,72.8,Very High,78.5,Very High,18.2,Very Low,82.3,8500000,5600000
46006-Z2,46006,La Ribera Alta,Valencia,68.1,Relatively High,73.2,Very High,15.6,Very Low,76.9,6800000,4500000
46006-Z3,46006,La Ribera Alta,Valencia,61.5,Relatively High,66.8,Relatively High,12.3,Very Low,70.2,5200000,3400000
46006-Z4,46006,La Ribera Alta,Valencia,55.2,Relatively Moderate,59.4,Relatively High,9.8,Very Low,63.8,3800000,2500000
46007-Z1,46007,La Ribera Baixa,Valencia,85.2,Very High,88.7,Very High,62.4,Relatively High,91.3,12500000,8300000
